MSSV,HoTen,Lop,DiemToan,DiemLy,DiemHoa,DiemTB,VangPercent,XepLoai
SV0294,Vo Cong Khoa,23DTH2C,1.85,2.48,2.96,2.43,24.2,Yeu
SV0295,Vo Thi An,23DTH2D,7.22,6.56,6.75,6.84,24.3,Kha
SV0296,Bui Thi Ha,23DTH1A,5.74,5.06,6.72,5.84,20.6,Kha
SV0297,Tran Van Giang,23DTH1B,7.6,6.28,7.14,7.01,0,Gioi
SV0298,Vo Thi An,23DTH1C,8.84,8.0,8.56,8.47,13.6,Gioi
SV0299,Duong Hoang Cuong,23DTH1D,5.94,6.74,6.89,6.52,10.9,Kha
SV0300,Do Thi Thao,23DTH2A,7.78,6.69,8.2,7.56,7.5,Gioi
SV0301,Duong Duc Khoa,23DTH2B,5.91,5.2,4.82,5.31,6.4,Trung binh
SV0302,Bui Thu Nhi,23DTH2C,3.91,4.89,4.42,4.41,10.7,Trung binh
SV0303,Nguyen Lan Oanh,23DTH2D,8.17,7.77,6.14,7.36,22.5,Gioi
SV0304,Bui Lan Binh,23DTH1A,7.47,8.2,7.64,7.77,0.7,Gioi
SV0305,Nguyen Minh Phong,23DTH1B,1.62,2.35,0.52,1.5,29.2,Yeu
SV0306,Hoang Thanh Ha,23DTH1C,6.03,6.56,5.05,5.88,4.7,Kha
SV0307,Duong Lan Giang,23DTH1D,6.45,6.43,6.93,6.6,10.7,Kha
SV0308,Ngo Lan An,23DTH2A,6.59,5.84,4.99,5.81,16.4,Kha
SV0309,Nguyen Trung Phuc,23DTH2B,3.48,2.78,3.88,3.38,13.2,Yeu
SV0310,Hoang Anh Cuong,23DTH2C,3.9,4.25,4.03,4.06,2.5,Trung binh
SV0311,Dang Gia Thanh,23DTH2D,2.98,4.2,5.38,4.19,13.5,Trung binh
SV0312,Phan Hoang Son,23DTH1A,6.51,7.13,6.89,6.84,5.5,Kha
SV0313,Ho Minh Phuc,23DTH1B,4.15,4.99,4.57,4.57,0,Trung binh
SV0314,Vu Minh Viet,23DTH1C,6.03,5.16,5.13,5.44,0,Trung binh
SV0315,Vu Thu Linh,23DTH1D,7.42,9.23,7.92,8.19,0,Gioi
SV0316,Bui My Mai,23DTH2A,5.94,8.42,6.61,6.99,0,Kha
SV0317,Ho Quoc Hai,23DTH2B,7.53,7.04,8.54,7.7,15.2,Gioi
SV0318,Hoang Quoc Khoa,23DTH2C,6.88,8.6,7.54,7.67,14.0,Gioi
SV0319,Duong Thanh Nga,23DTH2D,6.54,7.96,6.7,7.07,12.7,Gioi
SV0320,Le Bich Nhi,23DTH1A,3.63,4.52,4.36,4.17,17.9,Trung binh
SV0321,Pham Thanh Giang,23DTH1B,5.47,6.92,5.94,6.11,0,Kha
SV0322,Bui Thuy Mai,23DTH1C,5.82,4.13,4.21,4.72,12.6,Trung binh
SV0323,Bui Van Nam,23DTH1D,4.73,6.04,5.49,5.42,11.6,Trung binh
SV0324,Ngo Thuy Linh,23DTH2A,7.01,8.49,7.13,7.54,14.5,Gioi
SV0325,Hoang Quoc Nam,23DTH2B,6.89,7.46,7.42,7.26,20.6,Gioi
SV0326,Bui Bich Uyen,23DTH2C,9.04,8.07,8.0,8.37,7.5,Gioi
SV0327,Dang Minh Cuong,23DTH2D,5.41,5.63,6.02,5.69,20.6,Kha
SV0328,Ho Lan Uyen,23DTH1A,5.65,5.93,5.61,5.73,20.4,Kha
SV0329,Dang Duc Phong,23DTH1B,6.33,6.01,5.25,5.86,8.6,Kha
SV0330,Ho Gia Long,23DTH1C,5.6,4.75,4.33,4.89,12.9,Trung binh
SV0331,Huynh Bich Van,23DTH1D,6.44,6.22,6.56,6.41,13.0,Kha
SV0332,Vu Trung Dung,23DTH2A,5.83,7.36,5.85,6.35,9.2,Kha
SV0333,Vu Thanh Hoa,23DTH2B,3.32,4.11,4.32,3.92,6.7,Yeu
SV0334,Duong Bich Nhi,23DTH2C,8.36,7.8,7.04,7.73,0,Gioi
SV0335,Ho Hoang Khoa,23DTH2D,5.29,6.38,7.02,6.23,23.2,Kha
SV0336,Ngo Ngoc Duyen,23DTH1A,6.74,6.02,7.34,6.7,12.5,Kha
SV0337,Do Thu Chi,23DTH1B,5.98,4.11,5.72,5.27,14.9,Trung binh
SV0338,Vu Thuy Hoa,23DTH1C,7.45,8.0,7.46,7.64,10.3,Gioi
SV0339,Vu Huu Nam,23DTH1D,7.12,5.77,4.41,5.77,13.1,Kha
SV0340,Vo Trung Thanh,23DTH2A,9.19,9.89,7.65,8.91,12.8,Xuat sac
SV0341,Duong Thu Lan,23DTH2B,7.82,6.95,7.29,7.35,19.5,Gioi
SV0342,Vo Thuy Lan,23DTH2C,7.55,7.17,8.9,7.87,13.2,Gioi
SV0343,Tran My Nhi,23DTH2D,6.19,5.73,6.39,6.1,6.6,Kha
SV0344,Duong Trung Dung,23DTH1A,8.2,9.03,8.95,8.73,11.3,Xuat sac
SV0345,Duong Minh Viet,23DTH1B,5.98,6.28,6.56,6.27,12.4,Kha
SV0346,Vu Ngoc Uyen,23DTH1C,7.22,7.7,6.99,7.3,20.9,Gioi
SV0347,Ho Gia Hung,23DTH1D,7.71,7.64,8.72,8.02,10.4,Gioi
SV0348,Tran Thu Mai,23DTH2A,4.61,6.94,6.41,5.99,4.0,Kha
SV0349,Le Lan Thao,23DTH2B,4.02,4.21,4.57,4.27,7.7,Trung binh
SV0350,Dang Hoang Phong,23DTH2C,7.32,8.35,6.58,7.42,22.9,Gioi
SV0351,Tran Gia Khoa,23DTH2D,6.15,7.43,7.04,6.87,17.4,Kha
SV0352,Pham My Linh,23DTH1A,7.26,5.75,7.8,6.94,1.4,Kha
SV0353,Nguyen My Nhi,23DTH1B,7.3,7.12,7.3,7.24,16.0,Gioi
SV0354,Ho Thanh Oanh,23DTH1C,6.98,6.82,5.84,6.55,8.9,Kha
SV0355,Hoang Huu Phong,23DTH1D,6.97,7.85,7.16,7.33,11.2,Gioi
SV0356,Dang Thu Mai,23DTH2A,8.91,9.15,9.0,9.02,6.5,Xuat sac
SV0357,Duong Duc Dung,23DTH2B,4.86,6.05,4.61,5.17,12.7,Trung binh
SV0358,Vu Thuy Trang,23DTH2C,7.97,9.93,9.61,9.17,3.5,Xuat sac
SV0359,Hoang Huu Nam,23DTH2D,8.56,8.19,9.21,8.65,4.1,Xuat sac
SV0360,Do Hoang Quan,23DTH1A,6.33,5.9,6.48,6.24,7.8,Kha
SV0361,Huynh Cong Viet,23DTH1B,4.34,4.92,4.44,4.57,6.8,Trung binh
SV0362,Phan Ngoc Nga,23DTH1C,5.27,6.35,5.89,5.84,10.7,Kha
SV0363,Le Ngoc Binh,23DTH1D,4.84,4.53,5.19,4.85,14.9,Trung binh
SV0364,Phan Thi Giang,23DTH2A,6.57,7.45,6.99,7.0,8.3,Gioi
SV0365,Ho Huu Cuong,23DTH2B,4.66,4.36,3.49,4.17,22.6,Trung binh
SV0366,Dang Cong Quan,23DTH2C,6.3,5.79,6.23,6.11,7.7,Kha
SV0367,Tran Lan Van,23DTH2D,7.14,6.34,6.79,6.76,5.4,Kha
SV0368,Ho Thu Hoa,23DTH1A,5.73,6.59,6.15,6.16,3.3,Kha
SV0369,Hoang My Van,23DTH1B,7.69,6.99,7.11,7.26,5.9,Gioi
SV0370,Phan Hoang Nam,23DTH1C,6.57,7.47,7.73,7.26,20.8,Gioi
SV0371,Tran Trung Son,23DTH1D,5.61,6.2,6.14,5.98,7.0,Kha
SV0372,Do Minh Son,23DTH2A,8.35,9.47,8.19,8.67,6.8,Xuat sac
SV0373,Nguyen Cong Viet,23DTH2B,9.48,8.54,7.89,8.64,1.2,Xuat sac
SV0374,Bui Lan Oanh,23DTH2C,9.11,8.26,8.04,8.47,6.7,Gioi
SV0375,Dang My Oanh,23DTH2D,8.54,9.31,6.97,8.27,15.0,Gioi
SV0376,Ho Trung Dung,23DTH1A,7.31,8.54,8.24,8.03,7.1,Gioi
SV0377,Tran Anh Quan,23DTH1B,7.16,6.32,7.29,6.92,0,Kha
SV0378,Ngo Cong Long,23DTH1C,2.94,4.19,3.72,3.62,15.4,Yeu
SV0379,Pham Lan Hoa,23DTH1D,5.93,5.91,5.14,5.66,8.6,Kha
SV0380,Duong Trung Long,23DTH2A,9.28,8.39,9.34,9.0,2.6,Xuat sac
SV0381,Bui Cong Hai,23DTH2B,7.42,7.52,8.27,7.74,1.5,Gioi
SV0382,Bui Gia Giang,23DTH2C,4.79,5.19,3.45,4.48,21.3,Trung binh
SV0383,Dang Duc Long,23DTH2D,6.54,4.62,5.68,5.61,16.7,Kha
SV0384,Le Quoc Phuc,23DTH1A,6.01,6.2,6.31,6.17,8.9,Kha
SV0385,Phan Lan Phuong,23DTH1B,5.38,6.74,5.94,6.02,2.2,Kha
SV0386,Le Huong Lan,23DTH1C,9.14,8.7,9.5,9.11,7.2,Xuat sac
SV0387,Hoang Quoc Viet,23DTH1D,7.45,6.36,6.25,6.69,7.1,Kha
SV0388,Huynh Lan Thao,23DTH2A,7.79,7.77,6.2,7.25,0,Gioi
SV0389,Pham Minh Viet,23DTH2B,6.27,6.97,5.83,6.36,0,Kha
SV0390,Do Duc Minh,23DTH2C,5.44,5.9,6.3,5.88,7.1,Kha
SV0391,Tran Trung Binh,23DTH2D,6.99,6.61,6.47,6.69,16.3,Kha
SV0392,Bui Trung Long,23DTH1A,5.77,6.44,5.61,5.94,10.7,Kha
SV0393,Ho Thuy An,23DTH1B,6.28,6.16,7.43,6.62,0,Kha
SV0394,Vo Huong Hoa,23DTH1C,6.81,6.2,5.64,6.22,8.0,Kha
SV0395,Le Quoc Quan,23DTH1D,7.31,6.36,7.01,6.89,0.1,Kha
SV0396,Duong Hoang Thanh,23DTH2A,8.49,8.82,9.19,8.83,4.5,Xuat sac
SV0397,Le Thuy Hoa,23DTH2B,6.61,6.6,7.1,6.77,4.2,Kha
SV0398,Pham Cong Binh,23DTH2C,6.73,6.6,7.26,6.86,12.3,Kha
SV0399,Ho My Trang,23DTH2D,6.74,8.19,8.42,7.78,12.9,Gioi
SV0400,Ho Huong Oanh,23DTH1A,7.58,7.91,6.16,7.22,8.1,Gioi
SV0401,Huynh Gia Long,23DTH1B,5.75,5.8,6.96,6.17,3.2,Kha
SV0402,Le Huu Quan,23DTH1C,7.59,6.15,6.66,6.8,0,Kha
SV0403,Vo Thi Giang,23DTH1D,4.34,3.43,4.63,4.13,11.8,Trung binh
SV0404,Ngo Thanh Uyen,23DTH2A,6.09,7.22,8.19,7.17,19.1,Gioi
SV0405,Huynh Thu Phuong,23DTH2B,9.47,9.35,8.5,9.11,6.5,Xuat sac
SV0406,Do Ngoc Uyen,23DTH2C,7.61,8.24,8.31,8.05,2.2,Gioi
SV0407,Bui Thi Duyen,23DTH2D,7.02,6.83,7.6,7.15,3.3,Gioi
SV0408,Hoang Gia Khang,23DTH1A,9.17,9.67,8.94,9.26,17.1,Xuat sac
SV0409,Ngo Huong Nga,23DTH1B,8.51,8.1,8.44,8.35,0,Gioi
SV0410,Phan Lan Thao,23DTH1C,4.24,4.96,4.37,4.52,27.0,Trung binh
SV0411,Huynh Bich Chi,23DTH1D,1.86,2.96,3.51,2.78,16.9,Yeu
SV0412,Huynh Thi An,23DTH2A,7.5,7.13,6.16,6.93,18.3,Kha
SV0413,Phan Cong Dat,23DTH2B,6.68,5.64,6.45,6.26,12.3,Kha
SV0414,Do My Duyen,23DTH2C,4.77,4.68,4.42,4.62,14.1,Trung binh
SV0415,Dang Thu Giang,23DTH2D,5.59,6.8,7.06,6.48,8.6,Kha
SV0416,Ngo Minh Viet,23DTH1A,8.09,7.81,6.85,7.58,12.3,Gioi
SV0417,Vo Quoc Binh,23DTH1B,7.48,6.49,6.26,6.74,0,Kha
SV0418,Vu Cong Binh,23DTH1C,6.03,7.06,6.78,6.62,12.3,Kha
SV0419,Phan Hoang Cuong,23DTH1D,2.6,3.14,3.85,3.2,15.5,Yeu
SV0420,Dang Thi Yen,23DTH2A,6.16,7.84,7.37,7.12,21.0,Gioi
SV0421,Vo Thuy Thao,23DTH2B,6.84,6.69,6.16,6.56,9.1,Kha
SV0422,Ngo Kim Trang,23DTH2C,6.35,5.79,5.7,5.95,17.2,Kha
SV0423,Duong Lan Van,23DTH2D,7.33,7.57,7.24,7.38,18.1,Gioi
SV0424,Phan Quoc Thanh,23DTH1A,4.56,4.2,5.29,4.68,9.1,Trung binh
SV0425,Le Quoc Thanh,23DTH1B,5.52,5.54,6.46,5.84,14.6,Kha
SV0426,Nguyen Van Thanh,23DTH1C,8.0,7.76,6.3,7.35,30.0,Gioi
SV0427,Bui My Nhi,23DTH1D,5.69,5.65,5.27,5.54,19.8,Kha
SV0428,Dang Thuy An,23DTH2A,7.34,7.63,6.77,7.25,0.5,Gioi
SV0429,Nguyen Anh Quan,23DTH2B,7.14,7.99,6.96,7.36,16.1,Gioi
SV0430,Dang Lan Chi,23DTH2C,6.21,5.91,6.24,6.12,12.4,Kha
SV0431,Le Cong An,23DTH2D,5.34,7.29,7.5,6.71,13.4,Kha
SV0432,Le Anh Binh,23DTH1A,4.68,4.8,4.63,4.7,15.5,Trung binh
SV0433,Pham Ngoc Mai,23DTH1B,6.22,7.32,6.41,6.65,11.1,Kha
SV0434,Phan My Phuong,23DTH1C,8.22,7.17,6.02,7.14,9.2,Gioi
SV0435,Vu Huong Hoa,23DTH1D,3.61,4.77,3.46,3.95,3.3,Yeu
SV0436,Bui Hoang Son,23DTH2A,7.18,7.34,6.43,6.98,5.0,Kha
SV0437,Dang Duc Dung,23DTH2B,5.57,6.4,7.54,6.5,20.5,Kha
SV0438,Dang Lan Oanh,23DTH2C,5.73,6.15,6.52,6.13,3.7,Kha
SV0439,Ngo Trung Hai,23DTH2D,5.34,6.43,6.72,6.16,14.2,Kha
SV0440,Pham Van Hung,23DTH1A,7.27,6.72,6.49,6.83,5.2,Kha
SV0441,Vu Trung Long,23DTH1B,5.42,4.19,4.2,4.6,0,Trung binh
SV0442,Hoang Thanh Trang,23DTH1C,6.03,6.87,6.65,6.52,8.3,Kha
SV0443,Vo Duc Phong,23DTH1D,7.38,7.39,7.91,7.56,17.3,Gioi
SV0444,Ngo Thanh Ha,23DTH2A,6.26,5.86,6.21,6.11,24.5,Kha
SV0445,Ho Thu Oanh,23DTH2B,5.92,6.8,6.26,6.33,6.9,Kha
SV0446,Pham Quoc Binh,23DTH2C,8.28,9.4,8.47,8.72,18.6,Xuat sac
SV0447,Duong Thanh Quyen,23DTH2D,4.36,4.85,3.68,4.3,0,Trung binh
SV0448,Huynh Van Dat,23DTH1A,6.32,6.61,6.93,6.62,18.4,Kha
SV0449,Ngo Cong Dat,23DTH1B,9.57,8.7,8.31,8.86,9.5,Xuat sac
SV0450,Nguyen Ngoc An,23DTH1C,6.42,6.66,6.34,6.47,0,Kha
SV0451,Tran Thi Thao,23DTH1D,4.34,4.21,4.11,4.22,15.1,Trung binh
SV0452,Nguyen Kim Oanh,23DTH2A,5.62,5.24,6.5,5.79,13.8,Kha
SV0453,Ho Trung Viet,23DTH2B,4.12,4.34,3.25,3.9,3.3,Yeu
SV0454,Ngo Kim Yen,23DTH2C,5.72,5.76,5.17,5.55,8.7,Kha
SV0455,Nguyen Anh Long,23DTH2D,3.53,3.63,3.87,3.68,21.4,Yeu
SV0456,Huynh Gia Long,23DTH1A,6.31,7.14,6.29,6.58,16.8,Kha
SV0457,Huynh Thuy Linh,23DTH1B,5.22,4.22,4.65,4.7,16.2,Trung binh
SV0458,Tran Cong Quan,23DTH1C,6.31,5.52,6.35,6.06,22.0,Kha
SV0459,Phan Lan Nga,23DTH1D,8.57,8.01,7.9,8.16,9.8,Gioi
SV0460,Tran Ngoc Thao,23DTH2A,6.73,6.42,6.46,6.54,0,Kha
SV0461,Ngo My Duyen,23DTH2B,4.08,2.9,2.28,3.09,30.1,Yeu
SV0462,Le Bich Van,23DTH2C,7.83,7.14,7.96,7.64,0,Gioi
SV0463,Duong Thi Yen,23DTH2D,6.86,8.7,9.41,8.32,16.7,Gioi
SV0464,Bui Thanh Nhi,23DTH1A,6.4,6.34,6.22,6.32,0,Kha
SV0465,Hoang Trung Long,23DTH1B,4.91,4.66,5.4,4.99,9.1,Trung binh
SV0466,Ho Huu Tuan,23DTH1C,5.22,3.91,4.86,4.66,19.4,Trung binh
SV0467,Do Anh Phuc,23DTH1D,4.16,4.52,4.22,4.3,13.6,Trung binh
SV0468,Vo Anh Hung,23DTH2A,9.96,9.94,9.52,9.81,0,Xuat sac
SV0469,Huynh Huong Binh,23DTH2B,6.84,6.62,6.61,6.69,4.8,Kha
SV0470,Hoang Van Hai,23DTH2C,3.26,3.3,3.83,3.46,14.8,Yeu
SV0471,Pham Gia Khang,23DTH2D,5.79,4.84,5.48,5.37,0,Trung binh
SV0472,Phan Huong Nhi,23DTH1A,8.33,7.29,8.1,7.91,18.8,Gioi
SV0473,Pham Duc Viet,23DTH1B,7.94,7.24,9.12,8.1,1.9,Gioi
SV0474,Hoang Hoang Binh,23DTH1C,5.0,5.98,6.25,5.74,7.7,Kha
SV0475,Pham Duc Long,23DTH1D,5.68,6.27,5.53,5.83,10.7,Kha
SV0476,Ngo Duc Dung,23DTH2A,6.84,8.03,7.7,7.52,0,Gioi
SV0477,Le Lan Hoa,23DTH2B,4.64,3.59,5.24,4.49,17.6,Trung binh
SV0478,Nguyen Quoc Giang,23DTH2C,7.94,8.4,7.85,8.06,8.6,Gioi
SV0479,Hoang Hoang Khoa,23DTH2D,7.86,8.54,7.88,8.09,10.0,Gioi
SV0480,Nguyen My An,23DTH1A,8.65,9.04,7.99,8.56,12.8,Xuat sac
SV0481,Tran Thanh Trang,23DTH1B,4.25,4.86,4.03,4.38,10.4,Trung binh
SV0482,Bui Hoang Viet,23DTH1C,6.92,8.5,6.2,7.21,6.2,Gioi
SV0483,Tran Thi Quyen,23DTH1D,5.44,6.04,6.43,5.97,7.0,Kha
SV0484,Phan Thi Ha,23DTH2A,5.57,6.99,5.36,5.97,10.2,Kha
SV0485,Do Gia Son,23DTH2B,8.01,8.53,7.74,8.09,0,Gioi
SV0486,Nguyen Trung Thanh,23DTH2C,5.69,5.11,5.25,5.35,9.9,Trung binh
SV0487,Ngo Thuy Mai,23DTH2D,3.48,3.87,4.1,3.82,16.3,Yeu
SV0488,Tran Anh Phong,23DTH1A,7.68,6.13,7.18,7.0,9.6,Gioi
SV0489,Vu Thuy Van,23DTH1B,6.06,6.29,5.24,5.86,5.7,Kha
SV0490,Pham Huong Hoa,23DTH1C,8.87,9.26,9.05,9.06,5.1,Xuat sac
SV0491,Nguyen Thanh Uyen,23DTH1D,7.78,7.32,9.36,8.15,0,Gioi
SV0492,Vo Cong Son,23DTH2A,5.85,6.36,7.32,6.51,10.4,Kha
SV0493,Phan Quoc Viet,23DTH2B,7.0,7.2,5.71,6.64,8.7,Kha
SV0494,Hoang Thu Giang,23DTH2C,4.48,5.18,4.95,4.87,9.3,Trung binh
SV0495,Vo Huu Quan,23DTH2D,7.84,8.67,7.77,8.09,22.4,Gioi
SV0496,Phan Van Tuan,23DTH1A,8.24,8.21,8.51,8.32,20.1,Gioi
SV0497,Le Kim Giang,23DTH1B,4.86,4.68,5.3,4.95,14.7,Trung binh
SV0498,Phan Gia Minh,23DTH1C,7.41,5.66,7.5,6.86,9.2,Kha
SV0499,Ngo Thu Trang,23DTH1D,7.9,8.6,7.68,8.06,0.5,Gioi
SV0500,Vo Thuy Quyen,23DTH2A,5.84,6.0,5.14,5.66,11.7,Kha
SV0501,Hoang Thuy Chi,23DTH2B,4.71,5.01,4.75,4.82,11.8,Trung binh
SV0502,Hoang Kim Linh,23DTH2C,7.66,8.81,7.51,7.99,4.8,Gioi
SV0503,Vu Trung Phuc,23DTH2D,8.45,7.68,8.14,8.09,22.1,Gioi
SV0504,Nguyen Gia Khoa,23DTH1A,5.98,5.87,5.34,5.73,12.6,Kha
SV0505,Vu Thi Duyen,23DTH1B,6.15,5.55,6.37,6.02,17.5,Kha
SV0506,Bui Anh Long,23DTH1C,6.9,7.14,6.06,6.7,14.0,Kha
SV0507,Dang Thanh Nga,23DTH1D,5.96,5.44,5.63,5.68,17.4,Kha
SV0508,Pham Duc Cuong,23DTH2A,8.38,8.72,9.07,8.72,14.2,Xuat sac
SV0509,Duong Duc Binh,23DTH2B,8.55,9.75,9.07,9.12,0,Xuat sac
SV0510,Nguyen Quoc Cuong,23DTH2C,4.68,4.0,4.7,4.46,17.2,Trung binh
SV0511,Ngo Hoang Dat,23DTH2D,5.38,5.46,5.19,5.34,19.9,Trung binh
SV0512,Nguyen My Nhi,23DTH1A,6.26,6.51,5.57,6.11,14.3,Kha
SV0513,Duong Huu Phong,23DTH1B,8.75,8.49,9.17,8.8,1.0,Xuat sac
SV0514,Phan Van Khang,23DTH1C,5.01,3.44,4.03,4.16,16.2,Trung binh
SV0515,Huynh Duc Phong,23DTH1D,8.51,8.44,9.36,8.77,15.2,Xuat sac
SV0516,Ngo Quoc Cuong,23DTH2A,4.7,4.9,4.29,4.63,9.5,Trung binh
SV0517,Hoang Minh Tuan,23DTH2B,9.83,8.33,8.97,9.04,0,Xuat sac
SV0518,Vu Anh Phong,23DTH2C,6.22,6.1,6.9,6.41,12.4,Kha
SV0519,Duong My Nhi,23DTH2D,5.77,5.56,5.58,5.64,18.9,Kha
SV0520,Ngo Duc Son,23DTH1A,7.15,6.93,7.76,7.28,19.1,Gioi
SV0521,Hoang Gia Viet,23DTH1B,6.27,5.62,6.36,6.08,10.7,Kha
SV0522,Phan Bich Duyen,23DTH1C,8.47,8.51,10,8.99,21.0,Xuat sac
SV0523,Do Duc Long,23DTH1D,7.07,6.8,6.98,6.95,12.0,Kha
SV0524,Do Hoang Tuan,23DTH2A,5.99,5.56,6.38,5.98,7.3,Kha
SV0525,Phan Thi Trang,23DTH2B,8.02,8.13,8.11,8.09,0,Gioi
SV0526,Ngo Thuy Thao,23DTH2C,7.21,7.17,6.4,6.93,22.5,Kha
SV0527,Do Thu Mai,23DTH2D,4.87,6.35,5.3,5.51,21.9,Kha
SV0528,Nguyen Huong Yen,23DTH1A,8.33,6.93,8.23,7.83,12.2,Gioi
SV0529,Le Van An,23DTH1B,7.51,6.57,7.03,7.04,5.3,Gioi
SV0530,Bui Duc Thanh,23DTH1C,8.22,8.96,9.5,8.89,15.9,Xuat sac
SV0531,Ngo Van Cuong,23DTH1D,6.62,6.37,6.04,6.34,12.1,Kha
SV0532,Phan Trung Quan,23DTH2A,6.88,6.71,5.71,6.43,9.8,Kha
SV0533,Hoang Gia Dat,23DTH2B,5.9,5.81,6.46,6.06,10.1,Kha
SV0534,Dang Bich Quyen,23DTH2C,2.15,1.66,2.98,2.26,17.1,Yeu
SV0535,Ngo Thi Trang,23DTH2D,8.67,7.78,8.12,8.19,8.9,Gioi
SV0536,Le Quoc Cuong,23DTH1A,5.92,6.47,6.5,6.3,6.5,Kha
SV0537,Vo Quoc Phuc,23DTH1B,5.94,5.81,5.46,5.74,16.8,Kha
SV0538,Ngo Thanh Lan,23DTH1C,4.88,6.37,5.32,5.52,0,Kha
SV0539,Vo Huu Thanh,23DTH1D,9.81,8.79,9.35,9.32,1.7,Xuat sac
SV0540,Huynh Kim Ha,23DTH2A,7.47,7.12,6.88,7.16,10.9,Gioi
SV0541,Nguyen Duc Minh,23DTH2B,9.7,8.75,8.39,8.95,10.9,Xuat sac
SV0542,Hoang Lan Giang,23DTH2C,7.51,7.28,7.8,7.53,8.4,Gioi
SV0543,Pham Gia Quan,23DTH2D,8.7,8.99,7.35,8.35,0,Gioi
SV0544,Hoang Gia Viet,23DTH1A,5.1,4.09,4.67,4.62,7.2,Trung binh
SV0545,Hoang Gia Cuong,23DTH1B,6.89,6.99,7.79,7.22,10.1,Gioi
SV0546,Dang Thu Mai,23DTH1C,8.34,8.17,7.93,8.15,9.5,Gioi
SV0547,Ho Lan An,23DTH1D,5.09,5.07,6.33,5.5,3.8,Kha
SV0548,Ngo My Chi,23DTH2A,3.88,3.51,5.26,4.22,1.7,Trung binh
SV0549,Ngo Thuy Yen,23DTH2B,5.79,5.4,5.55,5.58,13.1,Kha
SV0550,Ho Ngoc Lan,23DTH2C,7.7,6.99,7.13,7.27,8.8,Gioi
SV0551,Bui Huong Nhi,23DTH2D,6.6,7.01,7.7,7.1,19.4,Gioi
SV0552,Tran Thanh An,23DTH1A,8.08,8.87,8.32,8.42,21.1,Gioi
SV0553,Bui Thu Van,23DTH1B,7.19,6.69,5.86,6.58,0,Kha
SV0554,Duong Huu Hai,23DTH1C,7.05,8.07,6.15,7.09,10.0,Gioi
SV0555,Huynh Lan Duyen,23DTH1D,9.3,8.12,9.22,8.88,11.5,Xuat sac
SV0556,Vo Thu Ha,23DTH2A,6.71,8.39,8.35,7.82,6.7,Gioi
SV0557,Huynh Lan Trang,23DTH2B,6.46,6.59,6.45,6.5,16.8,Kha
SV0558,Huynh Thuy Duyen,23DTH2C,5.23,4.14,4.36,4.58,17.1,Trung binh
SV0559,Le Thu An,23DTH2D,8.0,6.85,5.87,6.91,14.0,Kha
SV0560,Tran Quoc Khoa,23DTH1A,4.44,5.2,3.23,4.29,23.1,Trung binh
SV0561,Nguyen Kim Nhi,23DTH1B,6.76,4.87,5.13,5.59,11.9,Kha
SV0562,Pham Trung Long,23DTH1C,8.35,7.64,8.08,8.02,0,Gioi
SV0563,Le Thi Yen,23DTH1D,9.43,9.19,8.96,9.19,6.5,Xuat sac
SV0564,Tran Thu An,23DTH2A,7.72,6.8,6.97,7.16,17.4,Gioi
SV0565,Vu Quoc Nam,23DTH2B,7.07,5.8,6.49,6.45,7.9,Kha
SV0566,Pham Huu Giang,23DTH2C,7.07,6.96,7.11,7.05,8.3,Gioi
SV0567,Vo Bich Thao,23DTH2D,5.46,3.15,5.37,4.66,19.5,Trung binh
SV0568,Do My Yen,23DTH1A,8.28,6.7,7.18,7.39,17.3,Gioi
SV0569,Le Bich Nga,23DTH1B,7.0,7.62,7.01,7.21,4.9,Gioi
SV0570,Nguyen Anh Cuong,23DTH1C,5.81,6.79,6.76,6.45,13.8,Kha
SV0571,Vo Thi Binh,23DTH1D,7.86,6.56,6.93,7.12,19.7,Gioi
SV0572,Nguyen Gia Quan,23DTH2A,3.91,4.1,4.89,4.3,17.4,Trung binh
SV0573,Bui Ngoc Uyen,23DTH2B,6.21,7.14,7.0,6.78,12.2,Kha
SV0574,Ho Lan Duyen,23DTH2C,5.98,5.63,7.06,6.22,10.6,Kha
SV0575,Duong Lan Nhi,23DTH2D,6.95,7.16,7.62,7.24,11.3,Gioi
SV0576,Tran Minh Quan,23DTH1A,7.28,6.39,6.85,6.84,12.3,Kha
SV0577,Nguyen Huu Cuong,23DTH1B,7.67,9.05,9.24,8.65,7.5,Xuat sac
SV0578,Hoang Thi Yen,23DTH1C,4.08,5.53,4.38,4.66,21.8,Trung binh
SV0579,Bui Ngoc Chi,23DTH1D,8.99,9.77,9.98,9.58,1.9,Xuat sac
SV0580,Vu Lan Lan,23DTH2A,4.48,4.82,4.81,4.7,9.9,Trung binh
SV0581,Ho Bich Thao,23DTH2B,5.37,5.31,3.8,4.83,0.4,Trung binh
SV0582,Bui Bich Mai,23DTH2C,7.4,8.19,7.29,7.63,9.1,Gioi
SV0583,Tran Anh Quan,23DTH2D,5.6,7.07,7.21,6.63,19.7,Kha
SV0584,Hoang Minh Minh,23DTH1A,5.3,3.59,3.21,4.03,17.6,Trung binh
SV0585,Vo Minh Hai,23DTH1B,8.71,8.34,7.47,8.17,17.6,Gioi
SV0586,Pham Huong Uyen,23DTH1C,5.05,4.2,3.86,4.37,8.8,Trung binh
SV0587,Nguyen Minh Son,23DTH1D,4.23,5.18,4.36,4.59,4.5,Trung binh
